id,vertices,edges,ranking,score,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
0,400,861,1,177642,152,92,48,38,22,20,6,4,0,18
752,484,876,1,224057,224,102,60,14,32,18,4,2,8,20
1504,484,582,1,303184,316,64,16,20,16,6,12,4,0,30
0,400,870,1,195976,126,68,40,42,48,30,8,8,4,26
0,400,918,1,182190,128,120,68,32,18,12,4,2,0,16
752,484,812,1,227529,212,86,42,38,28,26,6,4,16,26
1504,484,598,1,292287,314,48,26,30,20,14,4,6,0,22
0,400,922,1,197244,96,80,66,50,52,12,14,4,0,26
752,484,840,1,157144,234,74,74,34,30,16,4,0,0,18
1504,484,622,1,424403,228,36,30,34,40,32,24,8,6,46
2256,484,1224,1,184345,242,72,50,36,30,22,12,2,0,18
3008,484,1054,1,204771,226,86,52,36,30,18,4,2,4,26
3760,484,908,1,148997,272,70,54,30,22,14,2,0,0,20
4512,484,796,1,220353,262,58,16,28,24,22,32,8,0,34
5264,999,823,1,188341,68,62,88,48,42,26,14,6,2,24
6768,999,800,1,140689,196,70,38,24,8,8,2,0,0,14
7520,999,878,1,155706,172,70,36,32,14,10,0,2,0,14
8272,999,1018,1,163037,184,70,52,36,30,18,2,0,0,18
0,400,888,1,177253,158,42,48,42,32,30,22,4,2,20
752,484,806,1,141732,338,52,26,18,22,14,0,0,0,14
1504,484,626,1,497325,240,52,34,28,38,28,10,10,10,34
2256,999,832,1,229415,218,88,44,32,16,14,16,14,8,34
0,400,895,1,142435,188,80,40,22,22,22,8,2,0,16
752,484,824,1,192080,148,106,62,56,30,22,14,10,0,36
1504,484,626,1,392654,314,60,18,8,28,12,8,6,4,26
3008,484,828,1,242936,224,78,58,18,30,30,12,8,0,26
0,400,888,1,163916,182,48,36,56,36,12,8,0,0,22
752,484,828,1,310084,160,90,50,36,42,30,22,12,6,36
1504,484,572,1,336534,340,54,28,10,12,10,4,0,0,26
2256,999,906,1,198331,146,58,46,34,46,22,8,8,8,24
3008,999,790,1,181311,294,38,30,28,22,10,16,10,8,28
0,400,909,1,231705,142,86,72,26,28,6,6,12,0,22
752,484,798,1,141974,284,88,30,26,20,16,4,0,0,16
1504,484,610,1,293034,314,38,32,18,28,6,12,4,0,32
2256,400,887,1,176298,188,66,38,24,28,26,10,4,0,16
